"GEO_ID","NAME","B25064_001E","B25064_001M",
"Geography","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent",
"1500000US060371132381","Block Group 1; Census Tract 1132.38; Los Angeles County; California","1609","152",
"1500000US060371132382","Block Group 2; Census Tract 1132.38; Los Angeles County; California","1938","600",
"1500000US060371132383","Block Group 3; Census Tract 1132.38; Los Angeles County; California","-","**",
"1500000US060371132391","Block Group 1; Census Tract 1132.39; Los Angeles County; California","1413","450",
"1500000US060371132392","Block Group 2; Census Tract 1132.39; Los Angeles County; California","1776","176",
"1500000US060371133011","Block Group 1; Census Tract 1133.01; Los Angeles County; California","-","**",
"1500000US060371133012","Block Group 2; Census Tract 1133.01; Los Angeles County; California","2970","217",
"1500000US060371133031","Block Group 1; Census Tract 1133.03; Los Angeles County; California","2910","540",
"1500000US060371133032","Block Group 2; Census Tract 1133.03; Los Angeles County; California","1700","992",
"1500000US060371133221","Block Group 1; Census Tract 1133.22; Los Angeles County; California","-","**",
"1500000US060371133222","Block Group 2; Census Tract 1133.22; Los Angeles County; California","2161","311",
"1500000US060371133231","Block Group 1; Census Tract 1133.23; Los Angeles County; California","1411","168",
"1500000US060371133232","Block Group 2; Census Tract 1133.23; Los Angeles County; California","1793","71",
"1500000US060371133241","Block Group 1; Census Tract 1133.24; Los Angeles County; California","2013","256",
"1500000US060371134231","Block Group 1; Census Tract 1134.23; Los Angeles County; California","3,500+","***",
"1500000US060371134232","Block Group 2; Census Tract 1134.23; Los Angeles County; California","1810","323",
"1500000US060371134241","Block Group 1; Census Tract 1134.24; Los Angeles County; California","2396","237",
"1500000US060371134242","Block Group 2; Census Tract 1134.24; Los Angeles County; California","-","**",
"1500000US060371134251","Block Group 1; Census Tract 1134.25; Los Angeles County; California","1902","180",
"1500000US060371134252","Block Group 2; Census Tract 1134.25; Los Angeles County; California","2199","120",
"1500000US060371134261","Block Group 1; Census Tract 1134.26; Los Angeles County; California","2050","636",
"1500000US060371134271","Block Group 1; Census Tract 1134.27; Los Angeles County; California","1676","169",
"1500000US060371134272","Block Group 2; Census Tract 1134.27; Los Angeles County; California","1728","88",
"1500000US060371134281","Block Group 1; Census Tract 1134.28; Los Angeles County; California","-","**",
"1500000US060371134282","Block Group 2; Census Tract 1134.28; Los Angeles County; California","3,500+","***",
"1500000US060371134283","Block Group 3; Census Tract 1134.28; Los Angeles County; California","-","**",
"1500000US060371151011","Block Group 1; Census Tract 1151.01; Los Angeles County; California","-","**",
"1500000US060371151012","Block Group 2; Census Tract 1151.01; Los Angeles County; California","-","**",
"1500000US060371151013","Block Group 3; Census Tract 1151.01; Los Angeles County; California","-","**",
"1500000US060371151031","Block Group 1; Census Tract 1151.03; Los Angeles County; California","-","**",
"1500000US060371151041","Block Group 1; Census Tract 1151.04; Los Angeles County; California","2250","880",
"1500000US060371151042","Block Group 2; Census Tract 1151.04; Los Angeles County; California","1998","199",
"1500000US060371151043","Block Group 3; Census Tract 1151.04; Los Angeles County; California","1692","146",
"1500000US060371151044","Block Group 4; Census Tract 1151.04; Los Angeles County; California","2155","253",
"1500000US060371152021","Block Group 1; Census Tract 1152.02; Los Angeles County; California","1799","145",
"1500000US060371152022","Block Group 2; Census Tract 1152.02; Los Angeles County; California","2826","233",
"1500000US060371152023","Block Group 3; Census Tract 1152.02; Los Angeles County; California","1834","297",
"1500000US060371152031","Block Group 1; Census Tract 1152.03; Los Angeles County; California","1708","254",
"1500000US060371152032","Block Group 2; Census Tract 1152.03; Los Angeles County; California","1954","1940",
"1500000US060371152041","Block Group 1; Census Tract 1152.04; Los Angeles County; California","1847","152",
"1500000US060371152042","Block Group 2; Census Tract 1152.04; Los Angeles County; California","1856","192",
"1500000US060371153011","Block Group 1; Census Tract 1153.01; Los Angeles County; California","3375","2981",
"1500000US060371153012","Block Group 2; Census Tract 1153.01; Los Angeles County; California","2285","355",
"1500000US060371153013","Block Group 3; Census Tract 1153.01; Los Angeles County; California","-","**",
"1500000US060371153014","Block Group 4; Census Tract 1153.01; Los Angeles County; California","-","**",
"1500000US060371153021","Block Group 1; Census Tract 1153.02; Los Angeles County; California","1768","96",
"1500000US060371153022","Block Group 2; Census Tract 1153.02; Los Angeles County; California","1652","107",
"1500000US060371153023","Block Group 3; Census Tract 1153.02; Los Angeles County; California","3319","218",
"1500000US060371154011","Block Group 1; Census Tract 1154.01; Los Angeles County; California","1680","139",
"1500000US060371154012","Block Group 2; Census Tract 1154.01; Los Angeles County; California","1713","109",
"1500000US060371154013","Block Group 3; Census Tract 1154.01; Los Angeles County; California","1811","219",
"1500000US060371154014","Block Group 4; Census Tract 1154.01; Los Angeles County; California","2623","557",
"1500000US060371154031","Block Group 1; Census Tract 1154.03; Los Angeles County; California","1483","245",
"1500000US060371154032","Block Group 2; Census Tract 1154.03; Los Angeles County; California","1645","156",
"1500000US060371154041","Block Group 1; Census Tract 1154.04; Los Angeles County; California","2327","753",
"1500000US060371154042","Block Group 2; Census Tract 1154.04; Los Angeles County; California","2226","562",
"1500000US060371171011","Block Group 1; Census Tract 1171.01; Los Angeles County; California","3,500+","***",
"1500000US060371171012","Block Group 2; Census Tract 1171.01; Los Angeles County; California","2731","1112",
"1500000US060371171013","Block Group 3; Census Tract 1171.01; Los Angeles County; California","1480","206",
"1500000US060371171021","Block Group 1; Census Tract 1171.02; Los Angeles County; California","-","**",
